userId,createdAt,countryCode,platform,amount,eventId,source,network,adUnitFormat,deviceId,advertisingId,packageName,adUnitName
7b783348Lc4ffdec3414c98e9299c4227bc8d,2024-01-01 07:28:42.215510 UTC,us,ios,0.006,TWTM29456593603733,source 1,network 3,adUnitFormat 2,GPQK25514793922045,WGEY10102096538815,packageName 2,adUnitName 6
78dc3348Ld387ad974a12a53670830f229e0b,2024-01-01 08:19:22.128529 UTC,us,ios,0.001,IJAB91071190856753,source 1,network 3,adUnitFormat 2,KABJ82978017527509,MVNH76971032880472,packageName 2,adUnitName 6
53523348L828abf9744cb8b4249ff31eea33c,2024-01-01 09:00:13.503502 UTC,us,ios,0.00075,JQTN87001498668748,source 1,network 3,adUnitFormat 2,ACDA57658100519826,MVNH76971032880472,packageName 2,adUnitName 6
53523348L828abf9744cb8b4249ff31eea33c,2024-01-01 09:06:32.106583 UTC,us,ios,0.0005,EWSN72840819551207,source 1,network 3,adUnitFormat 2,ACDA57658100519826,MVNH76971032880472,packageName 2,adUnitName 6
53523348L828abf9744cb8b4249ff31eea33c,2024-01-01 09:15:41.471601 UTC,us,ios,0.00025,GCPR21537322195273,source 1,network 3,adUnitFormat 2,ACDA57658100519826,MVNH76971032880472,packageName 2,adUnitName 6
53523348L828abf9744cb8b4249ff31eea33c,2024-01-01 09:16:30.158610 UTC,us,ios,0.00025,MQXW26377419813586,source 1,network 3,adUnitFormat 2,ACDA57658100519826,MVNH76971032880472,packageName 2,adUnitName 6
4f893348Ld00660434c769e2b9ccc4ecb21df,2024-01-01 11:23:14.446523 UTC,us,ios,0.001,YTVK20378471798861,source 1,network 3,adUnitFormat 2,GZCO51927861431594,MVNH76971032880472,packageName 2,adUnitName 6
7b783348Lc4ffdec3414c98e9299c4227bc8d,2024-01-01 07:29:50.367995 UTC,us,ios,0.0022,XWIA11031523182854,source 1,network 4,adUnitFormat 2,GPQK25514793922045,WGEY10102096538815,packageName 2,adUnitName 6
7b783348Lc4ffdec3414c98e9299c4227bc8d,2024-01-01 07:31:18.217940 UTC,us,ios,0.0009,OJFV10897302051211,source 1,network 4,adUnitFormat 2,GPQK25514793922045,WGEY10102096538815,packageName 2,adUnitName 6
7b783348Lc4ffdec3414c98e9299c4227bc8d,2024-01-01 07:32:08.441643 UTC,us,ios,0.0009,AEGS64122583253942,source 1,network 4,adUnitFormat 2,GPQK25514793922045,WGEY10102096538815,packageName 2,adUnitName 6
7b783348Lc4ffdec3414c98e9299c4227bc8d,2024-01-01 07:32:35.823826 UTC,us,ios,0.0009,YEUT75730981937892,source 1,network 4,adUnitFormat 2,GPQK25514793922045,WGEY10102096538815,packageName 2,adUnitName 6
7b783348Lc4ffdec3414c98e9299c4227bc8d,2024-01-01 07:34:31.641892 UTC,us,ios,0.0009,TRVV58035720076715,source 1,network 4,adUnitFormat 2,GPQK25514793922045,WGEY10102096538815,packageName 2,adUnitName 6
7b783348Lc4ffdec3414c98e9299c4227bc8d,2024-01-01 07:36:43.110394 UTC,us,ios,0.0006,TXRM37222126480273,source 1,network 4,adUnitFormat 2,GPQK25514793922045,WGEY10102096538815,packageName 2,adUnitName 6
53523348L828abf9744cb8b4249ff31eea33c,2024-01-01 08:54:38.985543 UTC,us,ios,0.0018,QGWS20862736349433,source 1,network 4,adUnitFormat 2,ACDA57658100519826,MVNH76971032880472,packageName 2,adUnitName 6
53523348L828abf9744cb8b4249ff31eea33c,2024-01-01 08:56:39.044289 UTC,us,ios,0.0014,GKMC98190682220513,source 1,network 4,adUnitFormat 2,ACDA57658100519826,MVNH76971032880472,packageName 2,adUnitName 6
53523348L828abf9744cb8b4249ff31eea33c,2024-01-01 08:56:48.026298 UTC,us,ios,0.0014,XGDK69153179433528,source 1,network 4,adUnitFormat 2,ACDA57658100519826,MVNH76971032880472,packageName 2,adUnitName 6
08603348Lf1ccd58d471db788afc8b4b26af0,2024-01-01 01:16:54.888996 UTC,us,ios,0.0334687,YVHD02161867918500,source 1,network 5,adUnitFormat 3,XGTT77524482245241,WHTG32858174869758,packageName 3,adUnitName 7
08603348Lf1ccd58d471db788afc8b4b26af0,2024-01-01 01:20:10.546679 UTC,us,ios,0.0334687,IBTA21881429797948,source 1,network 5,adUnitFormat 3,XGTT77524482245241,WHTG32858174869758,packageName 3,adUnitName 7
08603348Lf1ccd58d471db788afc8b4b26af0,2024-01-01 01:25:34.046271 UTC,us,ios,0.000221191,PBTJ67176203543951,source 1,network 5,adUnitFormat 2,XGTT77524482245241,WHTG32858174869758,packageName 3,adUnitName 8
08603348Lf1ccd58d471db788afc8b4b26af0,2024-01-01 01:28:09.534343 UTC,us,ios,0.000212524,KKQD12412988477374,source 1,network 5,adUnitFormat 2,XGTT77524482245241,WHTG32858174869758,packageName 3,adUnitName 8
08603348Lf1ccd58d471db788afc8b4b26af0,2024-01-01 01:54:45.470410 UTC,us,ios,0.000411133,DLEI88647377664341,source 1,network 5,adUnitFormat 2,XGTT77524482245241,WHTG32858174869758,packageName 3,adUnitName 8
08603348Lf1ccd58d471db788afc8b4b26af0,2024-01-01 04:32:28.254543 UTC,us,ios,0.0214688,CLYK42709690713879,source 1,network 5,adUnitFormat 3,XGTT77524482245241,WHTG32858174869758,packageName 3,adUnitName 7
62fa3348L028b5744456b813e2b687e70b3c0,2024-01-01 04:43:41.436288 UTC,us,ios,0.000421875,UWRL66398662480463,source 1,network 5,adUnitFormat 2,KRCI02193612986406,QEKI53215084108534,packageName 3,adUnitName 8
62fa3348L028b5744456b813e2b687e70b3c0,2024-01-01 04:44:40.241375 UTC,us,ios,0.000470947,CSKK21881059013907,source 1,network 5,adUnitFormat 2,KRCI02193612986406,QEKI53215084108534,packageName 3,adUnitName 8
62fa3348L028b5744456b813e2b687e70b3c0,2024-01-01 04:45:09.786756 UTC,us,ios,0.000411133,NFWI04111654564349,source 1,network 5,adUnitFormat 2,KRCI02193612986406,QEKI53215084108534,packageName 3,adUnitName 8
20a23348L6f3255a64d5084a87e6907ef2005,2024-01-01 13:33:32.620142 UTC,us,android,0.000675293,IDPW23212085528505,source 1,network 5,adUnitFormat 2,GWVQ53818041567948,SUQI74040824240185,packageName 3,adUnitName 9
20a23348L6f3255a64d5084a87e6907ef2005,2024-01-01 14:00:37.052279 UTC,us,android,0.000722168,QLCH54363125273557,source 1,network 5,adUnitFormat 2,GWVQ53818041567948,SUQI74040824240185,packageName 3,adUnitName 9
70053348Lec6ecdce489b8c563667dc01745d,2024-01-01 15:29:02.768193 UTC,us,android,0.00100684,CUGC88125352625022,source 1,network 5,adUnitFormat 2,CYSN11741142365796,EMHW48463635679486,packageName 3,adUnitName 10
57893348L8954cfdf4b389d80a5d804b00fe0,2024-01-01 20:54:31.609564 UTC,de,android,0.000253906,VIJE54966397157283,source 1,network 5,adUnitFormat 2,YSPB22903207893694,LLPE93394264688921,packageName 3,adUnitName 10
899f3348Lb6ff9f70416e9ad0929c38167708,2024-01-01 01:18:23.333482 UTC,us,android,0.00134,LFKZ80688340910168,source 1,network 6,adUnitFormat 2,QJYS94185817323199,PUNY73201688947662,packageName 4,adUnitName 11
899f3348Lb6ff9f70416e9ad0929c38167708,2024-01-01 01:20:29.898407 UTC,us,android,0.00079,VDKK69081690714949,source 1,network 6,adUnitFormat 2,QJYS94185817323199,PUNY73201688947662,packageName 4,adUnitName 11
899f3348Lb6ff9f70416e9ad0929c38167708,2024-01-01 01:20:39.660628 UTC,us,android,0.00079,EBHN10527932980775,source 1,network 6,adUnitFormat 2,QJYS94185817323199,PUNY73201688947662,packageName 4,adUnitName 11
899f3348Lb6ff9f70416e9ad0929c38167708,2024-01-01 01:20:59.647255 UTC,us,android,0.0008,YBOV97127657852267,source 1,network 6,adUnitFormat 2,QJYS94185817323199,PUNY73201688947662,packageName 4,adUnitName 11
899f3348Lb6ff9f70416e9ad0929c38167708,2024-01-01 01:23:48.938336 UTC,us,android,0.000492312,WNGJ60637680497047,source 1,network 7,adUnitFormat 2,QJYS94185817323199,PUNY73201688947662,packageName 4,adUnitName 11
899f3348Lb6ff9f70416e9ad0929c38167708,2024-01-01 01:25:07.299672 UTC,us,android,0.0203028,XMXW27149838747399,source 1,network 7,adUnitFormat 3,QJYS94185817323199,PUNY73201688947662,packageName 4,adUnitName 12
899f3348Lb6ff9f70416e9ad0929c38167708,2024-01-01 01:26:30.960055 UTC,us,android,0.000492312,VJAQ65661396279095,source 1,network 7,adUnitFormat 2,QJYS94185817323199,PUNY73201688947662,packageName 4,adUnitName 11
899f3348Lb6ff9f70416e9ad0929c38167708,2024-01-01 03:12:58.459546 UTC,us,android,0.0203028,PCYS64554841278075,source 1,network 7,adUnitFormat 3,QJYS94185817323199,PUNY73201688947662,packageName 4,adUnitName 12
899f3348Lb6ff9f70416e9ad0929c38167708,2024-01-01 03:15:20.796641 UTC,us,android,0.0203028,UHJX53570597948847,source 1,network 7,adUnitFormat 3,QJYS94185817323199,PUNY73201688947662,packageName 4,adUnitName 12
899f3348Lb6ff9f70416e9ad0929c38167708,2024-01-01 01:38:36.582908 UTC,us,android,0.000309706,XVQJ21851988578982,source 1,network 7,adUnitFormat 2,QJYS94185817323199,PUNY73201688947662,packageName 5,adUnitName 13
899f3348Lb6ff9f70416e9ad0929c38167708,2024-01-01 01:43:16.333402 UTC,us,android,0.000309706,CZWI69479412336897,source 1,network 7,adUnitFormat 2,QJYS94185817323199,PUNY73201688947662,packageName 5,adUnitName 13
899f3348Lb6ff9f70416e9ad0929c38167708,2024-01-01 01:44:20.273633 UTC,us,android,0.0191492,VNIV23330447382631,source 1,network 7,adUnitFormat 3,QJYS94185817323199,PUNY73201688947662,packageName 5,adUnitName 14
899f3348Lb6ff9f70416e9ad0929c38167708,2024-01-01 01:44:54.645353 UTC,us,android,0.000309706,JLXY19092441250544,source 1,network 7,adUnitFormat 2,QJYS94185817323199,PUNY73201688947662,packageName 5,adUnitName 13
899f3348Lb6ff9f70416e9ad0929c38167708,2024-01-01 01:45:14.617698 UTC,us,android,0.000309706,MOCG75294570799312,source 1,network 7,adUnitFormat 2,QJYS94185817323199,PUNY73201688947662,packageName 5,adUnitName 13
e2743348L699571fa4fd9b4f7e8b3c5720df0,2024-01-01 01:18:46.803756 UTC,us,android,0.000718,PBIE97890996680769,source 1,network 8,adUnitFormat 2,FPFN52196479306040,DNRA06338648505622,packageName 6,adUnitName 15
e2743348L699571fa4fd9b4f7e8b3c5720df0,2024-01-01 01:18:57.367861 UTC,us,android,0.000855,XXNF19744635632330,source 1,network 8,adUnitFormat 2,FPFN52196479306040,DNRA06338648505622,packageName 6,adUnitName 15
e2743348L699571fa4fd9b4f7e8b3c5720df0,2024-01-01 06:38:04.218217 UTC,us,android,0.00032,YCFE33241224322567,source 1,network 8,adUnitFormat 2,FPFN52196479306040,DNRA06338648505622,packageName 6,adUnitName 15
e2743348L699571fa4fd9b4f7e8b3c5720df0,2024-01-01 15:29:51.522594 UTC,us,android,0.000247,RTWP53951539745249,source 1,network 8,adUnitFormat 2,FPFN52196479306040,DNRA06338648505622,packageName 6,adUnitName 15
e2743348L699571fa4fd9b4f7e8b3c5720df0,2024-01-01 23:25:34.720679 UTC,us,android,0.000241,VZIU46355171974193,source 1,network 8,adUnitFormat 2,FPFN52196479306040,DNRA06338648505622,packageName 6,adUnitName 15
98223348Lfc56424f4ecc8a6a51df078d3b50,2024-01-01 03:09:21.363023 UTC,ca,android,0.1,GSFJ54230156274976,source 1,network 9,adUnitFormat 1,MUKJ31662517026062,BTFB55314981998668,packageName 1,adUnitName 1
47123348Ld7f16c70403f8e1affdb1332931e,2024-01-01 09:06:11.618966 UTC,nl,android,0.015,ZFAS45155583461209,source 1,network 9,adUnitFormat 1,OCNZ40740081001824,PJDF37672139806354,packageName 1,adUnitName 1
4b333348Ld2fc847d47de8d61e84cb236e393,2024-01-01 13:54:32.770135 UTC,us,android,0.35,SZZM77965230903263,source 1,network 9,adUnitFormat 1,KJML35066595097050,QXES63205968697394,packageName 1,adUnitName 1
47123348Ld7f16c70403f8e1affdb1332931e,2024-01-01 14:48:32.799666 UTC,nl,android,0.01,VHHS60915188517622,source 1,network 9,adUnitFormat 1,OCNZ40740081001824,PJDF37672139806354,packageName 1,adUnitName 1
c4043348L2405df01468cb9f38af7b6f9ef4a,2024-01-01 23:45:54.121382 UTC,us,android,0.05,HQCM11628479581636,source 1,network 9,adUnitFormat 1,OUTV58280224895974,APOL96633497357579,packageName 1,adUnitName 1
e2d63348Lce62a8024ac89653ae4ce11d721a,2024-01-01 17:11:09.364170 UTC,,,0.365,FSBX50895412762884,source 2,network 10,adUnitFormat 4,YCNR63263280188324,MVNH76971032880472,packageName 7,adUnitName 16
ffd13348L9f19f0e94b21bb326af44dc1c4ca,2024-01-01 19:56:21.765810 UTC,,,0.365,MHVR78167689736755,source 2,network 10,adUnitFormat 4,YCNR63263280188324,MVNH76971032880472,packageName 7,adUnitName 16
ffd13348L9f19f0e94b21bb326af44dc1c4ca,2024-01-01 21:39:11.415517 UTC,,,1.095,FVTA94593952108091,source 2,network 10,adUnitFormat 4,YCNR63263280188324,MVNH76971032880472,packageName 7,adUnitName 16
25243348L726222ab4b6bb9ee214e1cda0588,2024-01-01 23:15:04.957865 UTC,,,0.160591,QHDP85621363002923,source 2,network 10,adUnitFormat 4,YCNR63263280188324,MVNH76971032880472,packageName 7,adUnitName 16
25243348L726222ab4b6bb9ee214e1cda0588,2024-01-01 23:28:04.054587 UTC,,,0.642386,EUBC64466361540463,source 2,network 10,adUnitFormat 4,YCNR63263280188324,MVNH76971032880472,packageName 7,adUnitName 16
e2743348L699571fa4fd9b4f7e8b3c5720df0,2024-01-01 05:29:15.823771 UTC,us,android,0.0050504,TEYS90539224464689,source 1,network 2,adUnitFormat 1,YBSU65690062552565,DNRA06338648505622,packageName 1,adUnitName 1
06c53348Lb7f6262c4261a5b7340f301f4a92,2024-01-01 05:32:03.184580 UTC,ca,android,0.000161829,EMDC52921030581602,source 1,network 11,adUnitFormat 1,OPDS19296982968073,WYWS55356535259373,packageName 1,adUnitName 1
e2743348L699571fa4fd9b4f7e8b3c5720df0,2024-01-01 05:34:57.524904 UTC,us,android,0.0056432,DYEI05193630300016,source 1,network 2,adUnitFormat 1,YBSU65690062552565,DNRA06338648505622,packageName 1,adUnitName 1
06c53348Lb7f6262c4261a5b7340f301f4a92,2024-01-01 05:35:34.077806 UTC,ca,android,0.000170819,WLOH13384236049043,source 1,network 11,adUnitFormat 1,OPDS19296982968073,WYWS55356535259373,packageName 1,adUnitName 1
06c53348Lb7f6262c4261a5b7340f301f4a92,2024-01-01 05:55:41.266758 UTC,ca,android,0.000212457,UKMM68769159193530,source 1,network 11,adUnitFormat 1,OPDS19296982968073,WYWS55356535259373,packageName 1,adUnitName 1
e2743348L699571fa4fd9b4f7e8b3c5720df0,2024-01-01 06:02:15.851377 UTC,us,android,0.0047624,SPVP06171687733473,source 1,network 2,adUnitFormat 1,YBSU65690062552565,DNRA06338648505622,packageName 1,adUnitName 1
e2743348L699571fa4fd9b4f7e8b3c5720df0,2024-01-01 06:05:44.576467 UTC,us,android,0.00494669,VTCG22147540339387,source 1,network 1,adUnitFormat 1,YBSU65690062552565,DNRA06338648505622,packageName 1,adUnitName 1
06c53348Lb7f6262c4261a5b7340f301f4a92,2024-01-01 06:06:00.539139 UTC,ca,android,0.000223314,FPDE59152391800692,source 1,network 11,adUnitFormat 1,OPDS19296982968073,WYWS55356535259373,packageName 1,adUnitName 1
06c53348Lb7f6262c4261a5b7340f301f4a92,2024-01-01 06:09:20.850970 UTC,ca,android,0.000192,HFQS45643598531594,source 1,network 11,adUnitFormat 1,OPDS19296982968073,WYWS55356535259373,packageName 1,adUnitName 1
e2743348L699571fa4fd9b4f7e8b3c5720df0,2024-01-01 06:09:27.898768 UTC,us,android,0.00958051,HJUJ81162856957456,source 1,network 2,adUnitFormat 1,YBSU65690062552565,DNRA06338648505622,packageName 1,adUnitName 1
06c53348Lb7f6262c4261a5b7340f301f4a92,2024-01-01 06:38:39.752453 UTC,ca,android,0.000170819,BKPD63492100034986,source 1,network 11,adUnitFormat 1,OPDS19296982968073,WYWS55356535259373,packageName 1,adUnitName 1
e2743348L699571fa4fd9b4f7e8b3c5720df0,2024-01-01 06:41:07.014082 UTC,us,android,0.00271875,URKO89891058236715,source 1,network 12,adUnitFormat 1,YBSU65690062552565,DNRA06338648505622,packageName 1,adUnitName 1
06c53348Lb7f6262c4261a5b7340f301f4a92,2024-01-01 06:41:46.783231 UTC,ca,android,0.000154257,MEHX26688076746853,source 1,network 1,adUnitFormat 1,OPDS19296982968073,WYWS55356535259373,packageName 1,adUnitName 1
e2743348L699571fa4fd9b4f7e8b3c5720df0,2024-01-01 06:44:04.399614 UTC,us,android,0.003612,XSKJ43583345137986,source 1,network 2,adUnitFormat 1,YBSU65690062552565,DNRA06338648505622,packageName 1,adUnitName 1
06c53348Lb7f6262c4261a5b7340f301f4a92,2024-01-01 06:45:03.783219 UTC,ca,android,0.0001536,ROTU47343057654546,source 1,network 11,adUnitFormat 1,OPDS19296982968073,WYWS55356535259373,packageName 1,adUnitName 1
06c53348Lb7f6262c4261a5b7340f301f4a92,2024-01-01 06:47:55.044143 UTC,ca,android,8.91E-05,JIHZ22513500335559,source 1,network 11,adUnitFormat 1,OPDS19296982968073,WYWS55356535259373,packageName 1,adUnitName 1
06c53348Lb7f6262c4261a5b7340f301f4a92,2024-01-01 06:51:32.696920 UTC,ca,android,0.000116286,LKHK32685881712736,source 1,network 11,adUnitFormat 1,OPDS19296982968073,WYWS55356535259373,packageName 1,adUnitName 1
e2743348L699571fa4fd9b4f7e8b3c5720df0,2024-01-01 06:52:23.257297 UTC,us,android,0.0034104,RWFW56186650947647,source 1,network 2,adUnitFormat 1,YBSU65690062552565,DNRA06338648505622,packageName 1,adUnitName 1
06c53348Lb7f6262c4261a5b7340f301f4a92,2024-01-01 06:54:13.443573 UTC,ca,android,0.000212667,LJAE03543957929821,source 1,network 11,adUnitFormat 1,OPDS19296982968073,WYWS55356535259373,packageName 1,adUnitName 1
e2743348L699571fa4fd9b4f7e8b3c5720df0,2024-01-01 06:55:26.680091 UTC,us,android,0.003804,CCIQ75095009452692,source 1,network 2,adUnitFormat 1,YBSU65690062552565,DNRA06338648505622,packageName 1,adUnitName 1
e2743348L699571fa4fd9b4f7e8b3c5720df0,2024-01-01 06:58:37.055420 UTC,us,android,0.0038032,OALJ36845453438498,source 1,network 2,adUnitFormat 1,YBSU65690062552565,DNRA06338648505622,packageName 1,adUnitName 1
06c53348Lb7f6262c4261a5b7340f301f4a92,2024-01-01 06:58:38.065956 UTC,ca,android,0.000237429,WTWA69363884906762,source 1,network 11,adUnitFormat 1,OPDS19296982968073,WYWS55356535259373,packageName 1,adUnitName 1
e2743348L699571fa4fd9b4f7e8b3c5720df0,2024-01-01 07:01:31.017212 UTC,us,android,0.0032064,MGQT72195797133850,source 1,network 2,adUnitFormat 1,YBSU65690062552565,DNRA06338648505622,packageName 1,adUnitName 1
06c53348Lb7f6262c4261a5b7340f301f4a92,2024-01-01 07:01:46.451219 UTC,ca,android,0.000168,BBSB53359626681934,source 1,network 11,adUnitFormat 1,OPDS19296982968073,WYWS55356535259373,packageName 1,adUnitName 1
e2743348L699571fa4fd9b4f7e8b3c5720df0,2024-01-01 07:04:11.317980 UTC,us,android,0.003432,TAHM11443537289765,source 1,network 2,adUnitFormat 1,YBSU65690062552565,DNRA06338648505622,packageName 1,adUnitName 1
06c53348Lb7f6262c4261a5b7340f301f4a92,2024-01-01 07:04:54.964535 UTC,ca,android,0.000192343,WIJQ73898012316332,source 1,network 11,adUnitFormat 1,OPDS19296982968073,WYWS55356535259373,packageName 1,adUnitName 1
e2743348L699571fa4fd9b4f7e8b3c5720df0,2024-01-01 07:06:53.849965 UTC,us,android,0.0032096,TGET63836307931956,source 1,network 2,adUnitFormat 1,YBSU65690062552565,DNRA06338648505622,packageName 1,adUnitName 1
06c53348Lb7f6262c4261a5b7340f301f4a92,2024-01-01 07:10:37.325990 UTC,ca,android,0.000333429,RLAU62990166001241,source 1,network 11,adUnitFormat 1,OPDS19296982968073,WYWS55356535259373,packageName 1,adUnitName 1
e2743348L699571fa4fd9b4f7e8b3c5720df0,2024-01-01 07:10:42.197851 UTC,us,android,0.0036088,LXDC62332797632035,source 1,network 2,adUnitFormat 1,YBSU65690062552565,DNRA06338648505622,packageName 1,adUnitName 1
e2743348L699571fa4fd9b4f7e8b3c5720df0,2024-01-01 07:13:21.706880 UTC,us,android,0.0033904,PDAX70025215504694,source 1,network 2,adUnitFormat 1,YBSU65690062552565,DNRA06338648505622,packageName 1,adUnitName 1
06c53348Lb7f6262c4261a5b7340f301f4a92,2024-01-01 07:14:00.331726 UTC,ca,android,0.000125631,KJFM10708573642733,source 1,network 1,adUnitFormat 1,OPDS19296982968073,WYWS55356535259373,packageName 1,adUnitName 1
e2743348L699571fa4fd9b4f7e8b3c5720df0,2024-01-01 07:16:01.971188 UTC,us,android,0.0033944,HJQW13354470945707,source 1,network 2,adUnitFormat 1,YBSU65690062552565,DNRA06338648505622,packageName 1,adUnitName 1
06c53348Lb7f6262c4261a5b7340f301f4a92,2024-01-01 07:26:20.774620 UTC,ca,android,0.00018,QBIA62238761405965,source 1,network 11,adUnitFormat 1,OPDS19296982968073,WYWS55356535259373,packageName 1,adUnitName 1
06c53348Lb7f6262c4261a5b7340f301f4a92,2024-01-01 07:29:31.268758 UTC,ca,android,0.000174933,BUBU83470563315586,source 1,network 11,adUnitFormat 1,OPDS19296982968073,WYWS55356535259373,packageName 1,adUnitName 1
06c53348Lb7f6262c4261a5b7340f301f4a92,2024-01-01 07:32:14.781942 UTC,ca,android,0.000195962,IBAX78185370031027,source 1,network 11,adUnitFormat 1,OPDS19296982968073,WYWS55356535259373,packageName 1,adUnitName 1
06c53348Lb7f6262c4261a5b7340f301f4a92,2024-01-01 07:35:36.219471 UTC,ca,android,0.000194,SBIA81398749511898,source 1,network 11,adUnitFormat 1,OPDS19296982968073,WYWS55356535259373,packageName 1,adUnitName 1
06c53348Lb7f6262c4261a5b7340f301f4a92,2024-01-01 07:38:51.221021 UTC,ca,android,0.000139581,JXVS63456218226984,source 1,network 11,adUnitFormat 1,OPDS19296982968073,WYWS55356535259373,packageName 1,adUnitName 1
06c53348Lb7f6262c4261a5b7340f301f4a92,2024-01-01 07:41:50.261926 UTC,ca,android,0.000139581,VFUP67982350759657,source 1,network 11,adUnitFormat 1,OPDS19296982968073,WYWS55356535259373,packageName 1,adUnitName 1
